
#### 노템(장비0·슬롯0) (챕터 5) — 1200판 · 클리어율 9.17% · 한 판 평균 획득 5.98장
| 특전 | 등급 | 픽률(판 대비) | 그 특전을 뽑은 판의 클리어율 |
|---|---|---|---|
| 처치 시 창 `p_killSpearR` | 희귀 | 11.2% | 6.0% |
| 처치 시 도끼 `p_killAxeL` | 전설 | 10.6% | 7.1% |
| 회피율 증가 `p_evade` | 일반 | 10.5% | 5.6% |
| 회복 증폭 `p_healUp` | 희귀 | 10.4% | 4.8% |
| 오버킬 회복 `p_overkill` | 전설 | 10.3% | 7.3% |
| 광전사 `p_berserk` | 전설 | 10.0% | 55.8% |
| 처치 시 화살 `p_killArrowL` | 전설 | 9.8% | 9.3% |
| 가시갑옷 `p_thornsR` | 희귀 | 9.8% | 12.7% |
| 풀피 적 강타 `p_fullHp` | 희귀 | 9.8% | 7.6% |
| 수리 증폭 `p_repairUp` | 희귀 | 9.8% | 5.1% |
| 처치 시 화살 `p_killArrowR` | 희귀 | 9.7% | 6.9% |
| 처치 시 번개 `p_killBoltL` | 전설 | 9.5% | 8.8% |
| 귀족의 눈 `p_nobleEye` | 전설 | 9.5% | 9.6% |
| 치명타 시 스턴 III `p_stunCritL` | 전설 | 9.3% | 8.1% |
| 가시갑옷 `p_thornsL` | 전설 | 9.3% | 23.4% |
| 회피 시 회복 `p_evadeHeal` | 일반 | 9.3% | 5.4% |
| 거인의 힘 `p_giant` | 전설 | 9.2% | 26.4% |
| 치명타 시 스턴 II `p_stunCritR` | 희귀 | 9.2% | 9.1% |
| 회피 시 즉사 III `p_execEvL` | 전설 | 9.1% | 2.8% |
| 회피 시 수리 II `p_evRepairL` | 전설 | 9.0% | 2.8% |
| 회복 시 수리 `p_healRepair` | 희귀 | 8.9% | 4.7% |
| 2타 화살 III `p_nArrowL` | 전설 | 8.9% | 14.0% |
| 처치 시 창 `p_killSpearL` | 전설 | 8.8% | 7.5% |
| 처치 시 번개 `p_killBoltR` | 희귀 | 8.7% | 6.7% |
| 치명 시 창 `p_critSpearL` | 전설 | 8.5% | 4.9% |
| 3타 도끼 III `p_nAxeL` | 전설 | 8.5% | 16.7% |
| 회피 시 화살 III `p_arrowEvL` | 전설 | 8.3% | 3.0% |
| 관통 베기 III `p_cleaveL` | 전설 | 8.2% | 12.2% |
| 창의 화신 `p_spearAvatar` | 전설 | 8.1% | 8.2% |
| 치명타 피해 증가 II `p_critFR` | 희귀 | 8.0% | 5.2% |
| 실드 방벽 `p_shWallL` | 전설 | 8.0% | 21.9% |
| 처치 시 도끼 `p_killAxeR` | 희귀 | 8.0% | 8.3% |
| 3타 창 `p_nSpearL` | 전설 | 8.0% | 8.3% |
| 2타 화살 II `p_nArrowR` | 희귀 | 8.0% | 6.3% |
| 반격률 증가 II `p_counterR` | 희귀 | 7.8% | 6.5% |
| 3타 번개 III `p_nBoltL` | 전설 | 7.8% | 12.9% |
| 피격 시 도끼 III `p_axeHitL` | 전설 | 7.7% | 6.5% |
| 반격률 증가 `p_counter` | 일반 | 7.7% | 3.3% |
| 회피 시 즉사 II `p_execEvR` | 희귀 | 7.6% | 7.7% |
| 처치 시 대시 `p_killDash` | 희귀 | 7.3% | 6.8% |
| 회피율 증가 II `p_evadeR` | 희귀 | 7.3% | 12.5% |
| 치명타 확률 증가 II `p_critRR` | 희귀 | 7.3% | 5.7% |
| 처치 시 수리 `p_killRepair` | 희귀 | 7.2% | 19.8% |
| 버서커 `p_berserkStk` | 희귀 | 7.2% | 18.6% |
| 피격 시 도끼 `p_axeHit` | 일반 | 7.2% | 3.5% |
| 회피 시 창 `p_spearEvL` | 전설 | 7.1% | 2.4% |
| 공격력 증가 `p_atk` | 일반 | 7.1% | 10.6% |
| 반격 치명 II `p_ctCritR` | 희귀 | 7.0% | 7.1% |
| 반격 시 창 `p_spearCt` | 일반 | 6.9% | 14.5% |
| 공격력 증가 II `p_atkR` | 희귀 | 6.9% | 14.5% |
| 피격 시 창 `p_spearHitL` | 전설 | 6.9% | 8.4% |
| 피격 시 도끼 II `p_axeHitR` | 희귀 | 6.8% | 6.1% |
| 방어력 증가 III `p_defL` | 전설 | 6.8% | 0.0% |
| 3타 도끼 II `p_nAxeR` | 희귀 | 6.7% | 3.8% |
| 피격 시 방어막 III `p_wardHitL` | 전설 | 6.7% | 20.0% |
| 치명 시 번개 `p_critBoltL` | 전설 | 6.6% | 5.1% |
| 회피 시 화살 `p_arrowEv` | 일반 | 6.5% | 7.7% |
| 실드 반사 `p_shRefL` | 전설 | 6.3% | 5.3% |
| 3타 번개 II `p_nBoltR` | 희귀 | 6.2% | 9.5% |
| 회피 시 회복 II `p_evHealR` | 희귀 | 5.8% | 4.3% |
| 방어력 증가 `p_def` | 일반 | 5.8% | 5.8% |
| 반격 강화 II `p_ctDmgR` | 희귀 | 5.8% | 4.3% |
| 치명타 확률 증가 `p_critR` | 일반 | 5.7% | 7.4% |
| 치명타 피해 증가 `p_critF` | 일반 | 5.7% | 7.4% |
| 처치 시 화살 `p_killArrowN` | 일반 | 5.4% | 7.7% |
| 피격 시 방어막 II `p_wardHitR` | 희귀 | 5.3% | 4.7% |
| 처치 시 창 `p_killSpearN` | 일반 | 5.2% | 8.1% |
| 관통 베기 II `p_cleaveR` | 희귀 | 5.1% | 13.1% |
| 회피 시 수리 `p_evRepairR` | 희귀 | 5.1% | 9.8% |
| 가시갑옷 `p_thornsN` | 일반 | 4.7% | 10.7% |
| 방어력 증가 II `p_defR` | 희귀 | 4.6% | 3.6% |
| 회피 시 화살 II `p_arrowEvR` | 희귀 | 4.6% | 3.6% |
| 처치 시 도끼 `p_killAxeN` | 일반 | 4.4% | 5.7% |
| 처치 시 번개 `p_killBoltN` | 일반 | 4.3% | 7.8% |
| 처치 시 회피 버프 `p_killEvBuff` | 일반 | 4.2% | 2.0% |
| 치명 시 창 `p_critSpearR` | 희귀 | 4.2% | 6.0% |
| 수집가·공격 `p_collAtk` | 일반 | 3.4% | 7.3% |
| 수집가·치명 `p_collCrit` | 일반 | 3.1% | 5.4% |
| 처치 시 회복 `p_killHealN` | 일반 | 2.5% | 3.3% |
| 처치 시 공격력 스택 `p_killAtkStk` | 일반 | 2.2% | 3.8% |
| 수집가·체력 `p_collHp` | 일반 | 2.1% | 0.0% |
| 치명 스택 `p_critStack` | 일반 | 1.9% | 4.3% |
| 공격 시 공속 버프 `p_aspdAtk` | 일반 | 1.7% | 20.0% |
| 처치 시 회피 스택 `p_killEvStk` | 일반 | 1.5% | 0.0% |
| 회피 시 즉사 `p_execEvN` | 일반 | 1.3% | 6.3% |
| 치명타 시 스턴 `p_stunCritN` | 일반 | 0.9% | 18.2% |
| 2타 화살 `p_nArrowN` | 일반 | 0.7% | 0.0% |
| 3타 번개 `p_nBoltN` | 일반 | 0.6% | 0.0% |
| 회피 시 스턴 `p_evadeStun` | 일반 | 0.6% | 0.0% |
| 3타 도끼 `p_nAxeN` | 일반 | 0.5% | 16.7% |
| 반격 강화 `p_ctDmgN` | 일반 | 0.4% | 0.0% |
| 반격 치명 `p_ctCritN` | 일반 | 0.3% | 0.0% |
| 관통 베기 `p_cleaveN` | 일반 | 0.3% | 0.0% |
| 5타 회복 `p_nHealN` | 일반 | 0.3% | 0.0% |
| 처치 시 확정 치명 `p_killSureCrit` | 일반 | 0.2% | 50.0% |

#### 일반 풀셋(슬롯0) (챕터 15) — 1200판 · 클리어율 11.92% · 한 판 평균 획득 6.38장
| 특전 | 등급 | 픽률(판 대비) | 그 특전을 뽑은 판의 클리어율 |
|---|---|---|---|
| 가시갑옷 `p_thornsR` | 희귀 | 11.5% | 14.5% |
| 풀피 적 강타 `p_fullHp` | 희귀 | 11.4% | 16.1% |
| 가시갑옷 `p_thornsL` | 전설 | 11.3% | 14.8% |
