
=== 실험3: 전체 진행 시뮬 (챕터 1→300, 골드=슬롯강화 · 다이아=뽑기 자동) ===
챕터   1: 시도   3회  슬롯 0/0/0/0/0/0  장비 —/—/—/—/—/—  뽑기 0회  전투력 공3.00e+1·체3.00e+2  
챕터   2: 시도  10회  슬롯 1/0/0/0/0/0  장비 —/—/희귀/희귀/—/—  뽑기 2회  전투력 공3.00e+1·체3.00e+2  
챕터   3: 시도  53회  슬롯 1/1/1/1/1/1  장비 전설/일반/영웅/희귀/일반/—  뽑기 13회  전투력 공3.00e+1·체3.00e+2  
챕터   4: 시도   3회  슬롯 1/1/1/1/1/1  장비 전설/일반/영웅/희귀/전설/—  뽑기 14회  전투력 공3.00e+1·체3.00e+2  
챕터   5: 시도   8회  슬롯 2/1/1/1/1/1  장비 전설/일반/영웅/희귀/전설/—  뽑기 16회  전투력 공3.00e+1·체3.00e+2  
챕터   6: 시도  18회  슬롯 2/2/1/1/1/1  장비 전설/일반/영웅/희귀/전설/일반  뽑기 19회  전투력 공3.00e+1·체3.00e+2  
챕터   7: 시도  27회  슬롯 2/2/2/2/1/1  장비 전설/희귀/영웅/희귀/전설/일반  뽑기 25회  전투력 공3.00e+1·체3.00e+2  
챕터   8: 시도 120회  슬롯 3/2/2/2/2/2  장비 전설/희귀/영웅/희귀/전설/신화  뽑기 50회  전투력 공3.43e+1·체3.43e+2  
챕터   9: 시도  19회  슬롯 3/3/2/2/2/2  장비 전설/희귀/영웅/희귀/전설/신화  뽑기 54회  전투력 공3.43e+1·체3.43e+2  
챕터  10: 시도 223회  슬롯 3/3/3/3/3/3  장비 전설/전설/신화/전설/전설/신화  뽑기 100회  전투력 공5.30e+1·체5.30e+2  
챕터  11: 시도  36회  슬롯 4/3/3/3/3/3  장비 전설/전설/신화/전설/전설/신화  뽑기 108회  전투력 공5.31e+1·체5.31e+2  
챕터  12: 시도  89회  슬롯 4/4/4/3/3/3  장비 전설/전설/신화/전설/전설/신화  뽑기 126회  전투력 공7.24e+1·체7.24e+2  
챕터  13: 시도   6회  슬롯 4/4/4/3/3/3  장비 전설/전설/신화/전설/전설/신화  뽑기 128회  전투력 공7.24e+1·체7.24e+2  
