
=== 실험4: 장비 진행 (하루 다이아 2500 · 30판/일 · 365일) ===
    1일차: 챕터   2 클리어  슬롯 1/1/1/0/0/0  신화 0/6  장비 영웅/—/일반/—/—/영웅  누적뽑기 6
    3일차: 챕터   5 클리어  슬롯 2/2/2/1/1/1  신화 0/6  장비 전설/—/영웅/전설/영웅/영웅  누적뽑기 18
    7일차: 챕터   9 클리어  슬롯 3/3/2/2/2/2  신화 0/6  장비 전설/전설/전설/전설/영웅/영웅  누적뽑기 43
   14일차: 챕터   9 클리어  슬롯 3/3/3/3/3/3  신화 1/6  장비 전설/전설/전설/신화/전설/전설  누적뽑기 87
   30일차: 챕터  18 클리어  슬롯 5/5/4/4/4/4  신화 2/6  장비 전설+1/전설/신화/신화/전설+1/전설  누적뽑기 187
   60일차: 챕터 173 클리어  슬롯 31/31/30/30/30/30  신화 4/6  장비 전설+1/전설+1/신화/신화/신화/신화  누적뽑기 374
   90일차: 챕터 240 클리어  슬롯 41/41/41/41/41/41  신화 4/6  장비 전설+2/전설+2/신화/신화/신화+1/신화  누적뽑기 562
  120일차: 챕터 284 클리어  슬롯 49/49/49/49/49/48  신화 4/6  장비 전설+4/전설+2/신화/신화/신화+1/신화  누적뽑기 749
  150일차: 챕터 299 클리어  슬롯 52/52/52/52/51/51  신화 4/6  장비 전설+5/전설+3/신화/신화+1/신화+1/신화  누적뽑기 937
  180일차: 챕터 318 클리어  슬롯 55/55/54/54/54/54  신화 6/6  장비 신화/신화/신화/신화+1/신화+1/신화  누적뽑기 1124
  240일차: 챕터 351 클리어  슬롯 61/60/60/60/60/60  신화 6/6  장비 신화/신화/신화+1/신화+2/신화+1/신화+1  누적뽑기 1499
