
=== 실험4: 장비 진행 (하루 다이아 2500 · 30판/일 · 365일) ===
    1일차: 챕터  11 클리어  슬롯 2/2/2/2/2/2  신화 0/6  장비 일반/영웅/—/일반/희귀/—  누적뽑기 6
    3일차: 챕터  27 클리어  슬롯 10/10/10/9/9/9  신화 0/6  장비 영웅/전설/일반/영웅/희귀/영웅  누적뽑기 18
    7일차: 챕터  70 클리어  슬롯 29/29/29/29/29/28  신화 0/6  장비 전설/전설/전설/전설/영웅/영웅  누적뽑기 43
   14일차: 챕터  89 클리어  슬롯 41/41/41/40/40/40  신화 1/6  장비 신화/전설/전설/전설/전설/영웅  누적뽑기 87
   30일차: 챕터 170 클리어  슬롯 75/74/74/74/74/74  신화 3/6  장비 신화/전설+1/전설/전설+1/신화/신화  누적뽑기 187
   60일차: 챕터 188 클리어  슬롯 87/87/87/87/87/86  신화 5/6  장비 신화/신화/신화/전설+2/신화/신화  누적뽑기 374
   90일차: 챕터 196 클리어  슬롯 91/91/91/90/90/90  신화 6/6  장비 신화/신화/신화/신화/신화/신화  누적뽑기 562
  120일차: 챕터 199 클리어  슬롯 93/93/93/93/93/92  신화 6/6  장비 신화+1/신화/신화/신화/신화/신화  누적뽑기 749
  150일차: 챕터 200 클리어  슬롯 95/95/94/94/94/94  신화 6/6  장비 신화+1/신화+1/신화/신화/신화/신화  누적뽑기 937
  180일차: 챕터 206 클리어  슬롯 96/96/96/96/96/95  신화 6/6  장비 신화+1/신화+1/신화/신화/신화+1/신화  누적뽑기 1124
  240일차: 챕터 209 클리어  슬롯 99/99/99/99/98/98  신화 6/6  장비 신화+1/신화+1/신화/신화/신화+1/신화  누적뽑기 1499
  300일차: 챕터 212 클리어  슬롯 101/100/100/100/100/100  신화 6/6  장비 신화+1/신화+2/신화/신화+1/신화+2/신화+1  누적뽑기 1874
최종: 챕터 212 클리어 · 슬롯 101/101/100/100/100/100 · 신화 부위 6/6 · 뽑기 1981회 · 합성 937회 · 총 9510판
[진단] 최장 연속 실패: 챕터 213 에서 1205판(40.2일) — 참고 눈금 600판(20일)
** 정체 감지: 챕터 213 에서 1205판(40일) 연속 실패 — 90·300 은 대형 벽이라 정상, 그 외 챕터면 경제가 막힌 것 **
