=== 실험1 (챕터13 · 일반+1 · 슬롯0 · 300판) ===

=== 실험1: 등급 고정 파워 사다리 (챕터13, 하니스 일반+1 6부위 · 슬롯 0렙, 300판) ===
혼합: 클리어 26.0%  평균시간 124s
일반: 클리어 4.3%  평균시간 143s
희귀: 클리어 12.3%  평균시간 121s
전설: 클리어 36.0%  평균시간 124s
신화: 클리어 62.3%  평균시간 118s

=== 실험5 사다리 (400판 × 시드 1/2/3/5 + 무시드) ===
-- SEED=1 --

  — 사다리 요약 (합격 2~10%) —
  | 상태 | 과녁 챕터 | 클리어율 | 판정 |
  |---|---|---|---|
  | 노템 | 5 | 4.5% | ✓ |
  | 일반 | 15 | 4.5% | ✓ |
  | 희귀 | 30 | 3.0% | ✓ |
  | 영웅 | 50 | 7.5% | ✓ |
  | 전설 | 70 | 4.8% | ✓ |
  | 신화 | 120 | 5.3% | ✓ |
  | 신화+9강 | 260 | 4.0% | ✓ |
-- SEED=2 --

  — 사다리 요약 (합격 2~10%) —
  | 상태 | 과녁 챕터 | 클리어율 | 판정 |
  |---|---|---|---|
  | 노템 | 5 | 6.3% | ✓ |
  | 일반 | 15 | 7.2% | ✓ |
  | 희귀 | 30 | 5.0% | ✓ |
  | 영웅 | 50 | 5.3% | ✓ |
  | 전설 | 70 | 4.3% | ✓ |
  | 신화 | 120 | 6.0% | ✓ |
  | 신화+9강 | 260 | 5.0% | ✓ |
-- SEED=3 --

  — 사다리 요약 (합격 2~10%) —
  | 상태 | 과녁 챕터 | 클리어율 | 판정 |
  |---|---|---|---|
  | 노템 | 5 | 6.0% | ✓ |
  | 일반 | 15 | 5.5% | ✓ |
  | 희귀 | 30 | 4.0% | ✓ |
  | 영웅 | 50 | 6.3% | ✓ |
  | 전설 | 70 | 5.5% | ✓ |
  | 신화 | 120 | 5.3% | ✓ |
  | 신화+9강 | 260 | 4.3% | ✓ |
-- SEED=5 --

  — 사다리 요약 (합격 2~10%) —
  | 상태 | 과녁 챕터 | 클리어율 | 판정 |
  |---|---|---|---|
  | 노템 | 5 | 7.0% | ✓ |
  | 일반 | 15 | 7.0% | ✓ |
  | 희귀 | 30 | 4.3% | ✓ |
  | 영웅 | 50 | 5.3% | ✓ |
  | 전설 | 70 | 4.0% | ✓ |
  | 신화 | 120 | 6.3% | ✓ |
  | 신화+9강 | 260 | 8.0% | ✓ |
-- 무시드 --

  — 사다리 요약 (합격 2~10%) —
  | 상태 | 과녁 챕터 | 클리어율 | 판정 |
  |---|---|---|---|
  | 노템 | 5 | 4.0% | ✓ |
  | 일반 | 15 | 7.5% | ✓ |
  | 희귀 | 30 | 4.5% | ✓ |
  | 영웅 | 50 | 5.3% | ✓ |
  | 전설 | 70 | 3.5% | ✓ |
  | 신화 | 120 | 3.8% | ✓ |
  | 신화+9강 | 260 | 5.0% | ✓ |
