
=== 실험3: 전체 진행 시뮬 (챕터 1→100, 골드=슬롯강화 · 다이아=뽑기 자동) ===
챕터   1: 시도   1회  슬롯 0/0/0/0/0/0  장비 —/—/—/—/—/—  뽑기 0회  전투력 공3.00e+1·체3.00e+2  
챕터   2: 시도  18회  슬롯 1/0/0/0/0/0  장비 —/희귀/일반/—/—/—  뽑기 3회  전투력 공3.00e+1·체3.00e+2  
챕터   3: 시도  19회  슬롯 1/1/1/1/0/0  장비 영웅/희귀/일반/희귀/일반/—  뽑기 7회  전투력 공3.00e+1·체3.00e+2  
챕터   4: 시도   7회  슬롯 1/1/1/1/1/0  장비 영웅/희귀/일반/희귀/영웅/—  뽑기 9회  전투력 공3.00e+1·체3.00e+2  
챕터   5: 시도   5회  슬롯 1/1/1/1/1/1  장비 영웅/희귀/전설/희귀/영웅/—  뽑기 10회  전투력 공3.00e+1·체3.00e+2  
챕터   6: 시도  99회  슬롯 2/2/2/2/2/2  장비 영웅/희귀/전설/희귀/전설/전설  뽑기 31회  전투력 공3.01e+1·체3.01e+2  
챕터   7: 시도  93회  슬롯 3/3/2/2/2/2  장비 영웅/전설/전설/희귀/전설/신화  뽑기 50회  전투력 공3.44e+1·체3.44e+2  
챕터   8: 시도   4회  슬롯 3/3/2/2/2/2  장비 영웅/전설/전설/희귀/전설/신화  뽑기 51회  전투력 공3.44e+1·체3.44e+2  
챕터   9: 시도   3회  슬롯 3/3/2/2/2/2  장비 영웅/전설/전설/희귀/전설/신화  뽑기 51회  전투력 공3.44e+1·체3.44e+2  
챕터  10: 시도 157회  슬롯 3/3/3/3/3/3  장비 전설/전설/전설/영웅/전설/신화  뽑기 84회  전투력 공4.17e+1·체4.17e+2  
챕터  11: 시도   5회  슬롯 4/3/3/3/3/3  장비 전설/전설/전설/영웅/전설/신화  뽑기 85회  전투력 공4.18e+1·체4.18e+2  
챕터  12: 시도  96회  슬롯 4/4/4/3/3/3  장비 전설/전설/신화/영웅/전설/신화  뽑기 105회  전투력 공7.23e+1·체7.23e+2  
챕터  13: 시도   3회  슬롯 4/4/4/3/3/3  장비 전설/전설/신화/영웅/전설/신화  뽑기 106회  전투력 공7.23e+1·체7.23e+2  
챕터  14: 시도  27회  슬롯 4/4/4/4/3/3  장비 전설/전설/신화/영웅/전설/신화  뽑기 111회  전투력 공7.23e+1·체7.23e+2  
챕터  15: 시도  17회  슬롯 4/4/4/4/4/4  장비 전설/전설/신화/영웅/전설/신화  뽑기 115회  전투력 공9.15e+1·체9.15e+2  
챕터  16: 시도   2회  슬롯 4/4/4/4/4/4  장비 전설/전설/신화/영웅/전설/신화  뽑기 115회  전투력 공9.15e+1·체9.15e+2  
챕터  17: 시도  21회  슬롯 4/4/4/4/4/4  장비 전설/전설/신화/영웅/전설/신화  뽑기 120회  전투력 공9.15e+1·체9.15e+2  
챕터  18: 시도  19회  슬롯 5/4/4/4/4/4  장비 전설/전설/신화/영웅/전설/신화  뽑기 124회  전투력 공9.18e+1·체9.18e+2  
챕터  19: 시도  10회  슬롯 5/5/4/4/4/4  장비 전설/전설/신화/영웅/전설/신화  뽑기 126회  전투력 공9.22e+1·체9.22e+2  
챕터  20: 시도  20회  슬롯 5/5/5/4/4/4  장비 전설/전설/신화/전설/전설/신화  뽑기 130회  전투력 공1.44e+2·체1.44e+3  
챕터  21: 시도  11회  슬롯 5/5/5/5/4/4  장비 전설/전설/신화/전설/전설/신화  뽑기 132회  전투력 공1.44e+2·체1.44e+3  
