
=== 실험4: 장비 진행 (하루 다이아 2500 · 30판/일 · 180일) ===
    1일차: 챕터   2 클리어  슬롯 1/1/1/0/0/0  신화 0/6  장비 희귀/일반/희귀/일반/영웅/—  누적뽑기 6
    3일차: 챕터   5 클리어  슬롯 2/1/1/1/1/1  신화 0/6  장비 전설/일반/희귀/희귀/영웅/희귀  누적뽑기 18
    7일차: 챕터   6 클리어  슬롯 3/2/2/2/2/2  신화 0/6  장비 전설/전설/영웅/전설/영웅/전설  누적뽑기 43
   14일차: 챕터   9 클리어  슬롯 3/3/3/3/3/3  신화 1/6  장비 전설/전설/신화/전설/전설/전설  누적뽑기 87
   30일차: 챕터 105 클리어  슬롯 19/18/18/18/18/18  신화 3/6  장비 전설+1/신화/신화/신화/전설+1/전설  누적뽑기 187
   60일차: 챕터 259 클리어  슬롯 44/44/44/44/44/44  신화 5/6  장비 전설+2/신화/신화/신화/신화/신화  누적뽑기 374
   90일차: 챕터 300 클리어  슬롯 52/52/52/52/52/52  신화 5/6  장비 전설+3/신화/신화/신화/신화/신화  누적뽑기 562
  120일차: 챕터 314 클리어  슬롯 54/54/54/54/54/54  신화 5/6  장비 전설+4/신화/신화+1/신화/신화/신화  누적뽑기 749
  150일차: 챕터 324 클리어  슬롯 56/56/56/56/56/55  신화 5/6  장비 전설+5/신화/신화+1/신화/신화/신화  누적뽑기 937
  180일차: 챕터 332 클리어  슬롯 58/58/57/57/57/57  신화 5/6  장비 전설+6/신화/신화+1/신화/신화/신화+1  누적뽑기 1124
최종: 챕터 332 클리어 · 슬롯 58/58/57/57/57/57 · 신화 부위 5/6 · 뽑기 1124회 · 합성 519회 · 총 5400판
